,Calories_kCal,Carbohydrate_g,Fiber_g,Protein_g,Calcium_mg,Copper_mg,Iron_mg,Phosphorus_mg,Zinc_mg,Potassium_mg,Sodium_mg
Children_4-8_y,"1,500",130,25,19,"1,000",0.44,10,500,5,"3,800","1,200"
Males_14-18_y,"2,600",130,38,52,"1,300",0.89,11,"1,250",11,"4,700","1,500"
Males_19-30_y,"2,700",130,38,56,"1,000",0.9,8,700,11,"4,700","1,500"
Males_31-50_y,"2,600",130,38,56,"1,000",0.9,8,700,11,"4,700","1,500"
Females_14-18_y,"2,000",130,26,46,"1,300",0.89,15,"1,250",9,"4,700","1,500"
Females_19-30_y,"2,100",130,25,46,"1,000",0.9,18,700,8,"4,700","1,500"
Females_31-50_y,"2,000",130,25,46,"1,000",0.9,18,700,8,"4,700","1,500"
Pregnancy_19-30_y,"2,600",175,28,71,"1,000",1,27,700,11,"4,700","1,500"
