	Calories_kCal	Carbohydrate_g	Fiber_g	Protein_g	Calcium_mg	Copper_mg	Iron_mg	Phosphorus_mg	Zinc_mg	Potassium_mg	Sodium_mg	
Children_4-8_y	1500	130	25	19	1000	0.44	10	500	5	3800	1200	
Males_14-18_y	2600	130	38	52	1300	0.89	11	1250	11	4700	1500	
Males_19-30_y	2700	130	38	56	1000	0.9	8	700	11	4700	1500	
Males_31-50_y	2600	130	38	56	1000	0.9	8	700	11	4700	1500	
Females_14-18_y	2000	130	26	46	1300	0.89	15	1250	9	4700	1500	
Females_19-30_y	2100	130	25	46	1000	0.9	18	700	8	4700	1500	
Females_31-50_y	2000	130	25	46	1000	0.9	18	700	8	4700	1500	
Pregnancy_19-30_y	2600	175	28	71	1000	1	27	700	11	4700	1500	
												
